job_title,company_name,location,employment_type,posted_date,job_description,job_url,source,department,skills,extracted_at
Customer Care Associate - LATAM,Greenhouse,,,,"Back to jobsCustomer Care Associate - LATAMRemote-South AmericaApplyAbout RemoteRemote is solving modern organizations’ biggest challenge – navigating global employment compliantly with ease. We make it possible for businesses of all sizes to recruit, pay, and manage international teams. With our core values at heart and future focused work culture, our team works tirelessly on ambitious problems, asynchronously, around the world. You can find Remoters working from 6 different continents (Antarctica left to go!) and all of our positions are fully remote.With Innovation as one of the core values, we have built Automation and AI capabilities into the requirements for every role.We encourage every member of the Remote team to bring their talents, experiences and culture to the table to help us build the best-in-class HR platform.If you are energetic, curious, motivated and ambitious, be part of our world. Apply now and define the future of work!The positionThe Customer Care Associate position at Remote is focused on supporting our standard users.The Customer Care Associate will be responsible for providing customer support to our various user types across a number of verticals and product areas via email and live messaging channels.This is an exciting time to join Remote!RequirementsStrong problem-solving skills with a passion for enhancing the customer journey and advocating for customer needs.Solid experience in Customer Support or Customer Enablement within a product or tech environment, with hands-on experience in Live Chat and Email Support.Experience using CRM tools to manage customer interactions and support workflows.Proven ability to collaborate with multiple stakeholders who have varying priorities.Excellent team collaboration and communication skills—diligent, persistent, yet kind and patient with others.Strong interest in modern web technologies and applications, with the ability to navigate ambiguous situations comfortably.Fluent in written and spoken Engl",https://job-boards.greenhouse.io/remotecom/jobs/7592786003,greenhouse,,,2026-03-21T00:44:51.872792
"Manager, Customer Success - APAC",Greenhouse,,,,"Back to jobsNewManager, Customer Success - APACRemote-APACApplyAbout RemoteRemote is solving modern organizations’ biggest challenge – navigating global employment compliantly with ease. We make it possible for businesses of all sizes to recruit, pay, and manage international teams. With our core values at heart and future focused work culture, our team works tirelessly on ambitious problems, asynchronously, around the world. You can find Remoters working from 6 different continents (Antarctica left to go!) and all of our positions are fully remote.With Innovation as one of the core values, we have built Automation and AI capabilities into the requirements for every role.We encourage every member of the Remote team to bring their talents, experiences and culture to the table to help us build the best-in-class HR platform.If you are energetic, curious, motivated and ambitious, be part of our world. Apply now and define the future of work!The positionThis is an exciting time to join Remote and make a personal difference in the global employment space as aManager, Customer Success (APAC), as part of ourCustomer Experienceteam.OverviewAs aManager, Customer Success (APAC)you will lead and scale a regional pod that coversall CS segments in APAC- Growth, SMB, Mid-Market, and Enterprise.You will be accountable for day-to-day execution, regional retention outcomes, and team health, while partnering tightly with cross-functional leaders (Sales, Product, Support, Implementations, Solutions, etc.) to remove blockers and improve the APAC customer experience.Scope - APAC regional podOwns a regional pod model spanning Growth, SMB, Mid-Market, and Enterprise CSMs in APAC.Drives consistent execution of CS plays while allowing for regional nuance (time zones, local expectations, market dynamics).Partners with global CS leadership to align APAC operating rhythm, reporting, and escalation paths.RequirementsMeaningful people leadership experience in Customer Success (or equivalent custo",https://job-boards.greenhouse.io/remotecom/jobs/7673506003,greenhouse,,,2026-03-21T00:44:54.529762
Payroll Client Services Specialist,Greenhouse,,,,"Back to jobsPayroll Client Services SpecialistRemote-DACHApplyAbout RemoteRemote is solving modern organizations’ biggest challenge – navigating global employment compliantly with ease. We make it possible for businesses of all sizes to recruit, pay, and manage international teams. With our core values at heart and future focused work culture, our team works tirelessly on ambitious problems, asynchronously, around the world. You can find Remoters working from 6 different continents (Antarctica left to go!) and all of our positions are fully remote.With Innovation as one of the core values, we have built Automation and AI capabilities into the requirements for every role.We encourage every member of the Remote team to bring their talents, experiences and culture to the table to help us build the best-in-class HR platform.If you are energetic, curious, motivated and ambitious, be part of our world. Apply now and define the future of work!About RemoteRemote is solving modern organizations’ biggest challenge – navigating global employment compliantly with ease. We make it possible for businesses of all sizes to recruit, pay, and manage international teams. With our core values at heart and future focused work culture, our team works tirelessly on ambitious problems, asynchronously, around the world. You can find Remoters working from 6 different continents (Antarctica left to go!) and all of our positions are fully remote.We encourage every member of the Remote team to bring their talents, experiences and culture to the table to help us build the best-in-class HR platform.If you are energetic, curious, motivated and ambitious, be part of our world. Apply now and define the future of work!What this job can offer youAn opportunity to continue build and advance your career in payroll and customer service, within a fast-paced, innovative company.Contribute to a company making a global impact on the future of work.Work closely with clients and internal teams, fostering a col",https://job-boards.greenhouse.io/remotecom/jobs/7586693003,greenhouse,,,2026-03-21T00:44:57.265256
Senior Staff Product Designer,Greenhouse,,,,"Back to jobsSenior Staff Product DesignerRemote-AMERApplyAbout RemoteRemote is solving modern organizations’ biggest challenge – navigating global employment compliantly with ease. We make it possible for businesses of all sizes to recruit, pay, and manage international teams. With our core values at heart and future focused work culture, our team works tirelessly on ambitious problems, asynchronously, around the world. You can find Remoters working from 6 different continents (Antarctica left to go!) and all of our positions are fully remote.With Innovation as one of the core values, we have built Automation and AI capabilities into the requirements for every role.We encourage every member of the Remote team to bring their talents, experiences and culture to the table to help us build the best-in-class HR platform.If you are energetic, curious, motivated and ambitious, be part of our world. Apply now and define the future of work!About RemoteRemote is solving modern organizations’ biggest challenge – navigating global employment compliantly with ease. We make it possible for businesses of all sizes to recruit, pay, and manage international teams. With our core values at heart and future focused work culture, our team works tirelessly on ambitious problems, asynchronously, around the world. You can find Remoters working from 6 different continents (Antarctica left to go!) and all of our positions are fully remote.We encourage every member of the Remote team to bring their talents, experiences and culture to the table to help us build the best-in-class HR platform.If you are energetic, curious, motivated and ambitious, be part of our world. Apply now and define the future of work!Remote is hiring aSenior Staff Product Designerto be one of the strongest individual contributors in the company. This is a craft-first, systems-minded role for someone who likes the messy problems: ambiguity, scale and real-world constraints.You’ll shape how we build product at Remote: the ",https://job-boards.greenhouse.io/remotecom/jobs/7660139003,greenhouse,,,2026-03-21T00:44:59.929901
Senior Product Designer,Greenhouse,,,,"Back to jobsSenior Product DesignerRemote-EMEAApplyAbout RemoteRemote is solving modern organizations’ biggest challenge – navigating global employment compliantly with ease. We make it possible for businesses of all sizes to recruit, pay, and manage international teams. With our core values at heart and future focused work culture, our team works tirelessly on ambitious problems, asynchronously, around the world. You can find Remoters working from 6 different continents (Antarctica left to go!) and all of our positions are fully remote.With Innovation as one of the core values, we have built Automation and AI capabilities into the requirements for every role.We encourage every member of the Remote team to bring their talents, experiences and culture to the table to help us build the best-in-class HR platform.If you are energetic, curious, motivated and ambitious, be part of our world. Apply now and define the future of work!What this job can offer youThis is an exciting time to join Remote and make an impact in the global employment space as aSenior Product Designerjoining ourProduct Designteam. Design at Remote is a 40+ multi-disciplinary team of designers and creatives passionate about crafting the experiences that help Remote scale successfully and help customers find, hire, manage and pay anyone, anywhere 🌍At Remote, we look forSenior Product Designerswho are well-experienced, have high-level of maturity across the end-to-end design process, can autonomously lead design within a product team and are comfortable navigating ambiguity. You will be part of a thriving cross-functional organisation, where you will collaborate with Designers, Engineers and Product Managers worldwide to deliver remarkable user experiences to customers.You can also check out our blog post onHow to land a Design role at Remote, and the Youtubelinkto our Ask Me Anything event.What you bringAn individual contributor with an impressive portfolio of product design work demonstrating your mat",https://job-boards.greenhouse.io/remotecom/jobs/6582908003,greenhouse,,,2026-03-21T00:45:06.258449
"Staff Product Designer, Pay Ecosystem",Greenhouse,,,,"Back to jobsStaff Product Designer, Pay EcosystemRemote-EMEAApplyAbout RemoteRemote is solving modern organizations’ biggest challenge – navigating global employment compliantly with ease. We make it possible for businesses of all sizes to recruit, pay, and manage international teams. With our core values at heart and future focused work culture, our team works tirelessly on ambitious problems, asynchronously, around the world. You can find Remoters working from 6 different continents (Antarctica left to go!) and all of our positions are fully remote.With Innovation as one of the core values, we have built Automation and AI capabilities into the requirements for every role.We encourage every member of the Remote team to bring their talents, experiences and culture to the table to help us build the best-in-class HR platform.If you are energetic, curious, motivated and ambitious, be part of our world. Apply now and define the future of work!What this job can offer youThis is an exciting time to join Remote and make an impact in the global employment space as aStaff Product Designerjoining ourPay Ecosystem Product Designteam. Design at Remote is a 40+ multi-disciplinary team of designers and creatives passionate about crafting the experiences and touch-points that help Remote scale successfully and help customers attract, hire, manage and pay anyone, anywhere 🌍.The payroll team helps build experiences that empower our customers to pay anyone, anywhere safely and compliantly. This is one of our most strategically important and high profile teams at Remote. Here you will be challenged as a designer in the best way - this role is filled with fascinating, complex and meaty challenges that require primary research, robust strategy, innovative concepts and simple but brilliant execution.AsStaff Product Designeryou’ll be an IC leaders who can effectively drive the excellence of craft across several teams or a large, important area - and will be required to advocate and collab",https://job-boards.greenhouse.io/remotecom/jobs/7500346003,greenhouse,,,2026-03-21T00:45:08.885929
"Staff Product Designer, Pay Ecosystem",Greenhouse,,,,"Back to jobsStaff Product Designer, Pay EcosystemRemote-UK&IApplyAbout RemoteRemote is solving modern organizations’ biggest challenge – navigating global employment compliantly with ease. We make it possible for businesses of all sizes to recruit, pay, and manage international teams. With our core values at heart and future focused work culture, our team works tirelessly on ambitious problems, asynchronously, around the world. You can find Remoters working from 6 different continents (Antarctica left to go!) and all of our positions are fully remote.With Innovation as one of the core values, we have built Automation and AI capabilities into the requirements for every role.We encourage every member of the Remote team to bring their talents, experiences and culture to the table to help us build the best-in-class HR platform.If you are energetic, curious, motivated and ambitious, be part of our world. Apply now and define the future of work!What this job can offer youThis is an exciting time to join Remote and make an impact in the global employment space as aStaff Product Designerjoining ourPay Ecosystem Product Designteam. Design at Remote is a 40+ multi-disciplinary team of designers and creatives passionate about crafting the experiences and touch-points that help Remote scale successfully and help customers attract, hire, manage and pay anyone, anywhere 🌍.The payroll team helps build experiences that empower our customers to pay anyone, anywhere safely and compliantly. This is one of our most strategically important and high profile teams at Remote. Here you will be challenged as a designer in the best way - this role is filled with fascinating, complex and meaty challenges that require primary research, robust strategy, innovative concepts and simple but brilliant execution.AsStaff Product Designeryou’ll be an IC leaders who can effectively drive the excellence of craft across several teams or a large, important area - and will be required to advocate and collab",https://job-boards.greenhouse.io/remotecom/jobs/7564657003,greenhouse,,,2026-03-21T00:45:11.471469
"Staff Product Designer, Pay Ecosystem",Greenhouse,,,,"Back to jobsStaff Product Designer, Pay EcosystemRemote-NordicsApplyAbout RemoteRemote is solving modern organizations’ biggest challenge – navigating global employment compliantly with ease. We make it possible for businesses of all sizes to recruit, pay, and manage international teams. With our core values at heart and future focused work culture, our team works tirelessly on ambitious problems, asynchronously, around the world. You can find Remoters working from 6 different continents (Antarctica left to go!) and all of our positions are fully remote.With Innovation as one of the core values, we have built Automation and AI capabilities into the requirements for every role.We encourage every member of the Remote team to bring their talents, experiences and culture to the table to help us build the best-in-class HR platform.If you are energetic, curious, motivated and ambitious, be part of our world. Apply now and define the future of work!What this job can offer youThis is an exciting time to join Remote and make an impact in the global employment space as aStaff Product Designerjoining ourPay Ecosystem Product Designteam. Design at Remote is a 40+ multi-disciplinary team of designers and creatives passionate about crafting the experiences and touch-points that help Remote scale successfully and help customers attract, hire, manage and pay anyone, anywhere 🌍.The payroll team helps build experiences that empower our customers to pay anyone, anywhere safely and compliantly. This is one of our most strategically important and high profile teams at Remote. Here you will be challenged as a designer in the best way - this role is filled with fascinating, complex and meaty challenges that require primary research, robust strategy, innovative concepts and simple but brilliant execution.AsStaff Product Designeryou’ll be an IC leaders who can effectively drive the excellence of craft across several teams or a large, important area - and will be required to advocate and col",https://job-boards.greenhouse.io/remotecom/jobs/7564665003,greenhouse,,,2026-03-21T00:45:13.992155
Senior Backend Developer,Greenhouse,,,,"Back to jobsSenior Backend DeveloperRemote-GlobalApplyAbout RemoteRemote is solving modern organizations’ biggest challenge – navigating global employment compliantly with ease. We make it possible for businesses of all sizes to recruit, pay, and manage international teams. With our core values at heart and future focused work culture, our team works tirelessly on ambitious problems, asynchronously, around the world. You can find Remoters working from 6 different continents (Antarctica left to go!) and all of our positions are fully remote.With Innovation as one of the core values, we have built Automation and AI capabilities into the requirements for every role.We encourage every member of the Remote team to bring their talents, experiences and culture to the table to help us build the best-in-class HR platform.If you are energetic, curious, motivated and ambitious, be part of our world. Apply now and define the future of work!The positionYou'll be joining a team of engineers across Frontend, Backend, SRE and QA. We're organised into cross-functional development teams assigned to specific verticals.This role is open for several teams, and we will define the exact team that you will be joining during the interview process based on the business needs and your preferences.Regardless of the specific team, you will be working on building tools, APIs and integrations for one of our products.Our backend is built with Elixir and Phoenix, with a Postgres database. We use React and Next.js for our front-end. GitLab is used as a version control tool and a CI/CD solution. Our applications are hosted on AWS. We fully rely on our CI for deployments and deploy multiple times per day. You can check out ourEngineering Rulebookto learn more.What this job can offer youComplex and meaningful challenges — solving them will enable people and businesses to live and operate in any country of the world.Opportunity to have a significant impact on the business — we are still very early in ou",https://job-boards.greenhouse.io/remotecom/jobs/7660515003,greenhouse,,,2026-03-21T00:45:17.361497
Senior Backend Engineer - Elixir,Greenhouse,,,,"Back to jobsSenior Backend Engineer - ElixirRemote-GlobalApplyAbout RemoteRemote is solving modern organizations’ biggest challenge – navigating global employment compliantly with ease. We make it possible for businesses of all sizes to recruit, pay, and manage international teams. With our core values at heart and future focused work culture, our team works tirelessly on ambitious problems, asynchronously, around the world. You can find Remoters working from 6 different continents (Antarctica left to go!) and all of our positions are fully remote.With Innovation as one of the core values, we have built Automation and AI capabilities into the requirements for every role.We encourage every member of the Remote team to bring their talents, experiences and culture to the table to help us build the best-in-class HR platform.If you are energetic, curious, motivated and ambitious, be part of our world. Apply now and define the future of work!The positionYou'll be joining a team of engineers across Frontend, Backend, SRE and QA. We're organised into cross-functional development teams assigned to specific verticals.This role is open for several teams, and we will define the exact team that you will be joining during the interview process based on the business needs and your preferences.Regardless of the specific team, you will be working on building tools, APIs and integrations for one of our products.Our backend is built with Elixir and Phoenix, with a Postgres database. We use React and Nextjs for our front-end. Gitlab is used as a version control tool, issue tracker and a CI/CD solution. Our applications are hosted on AWS. We fully rely on our CI for deployments and deploy multiple times per day.What this job can offer youComplex and meaningful challenges — solving them will enable people and businesses to live and operate in any country of the world.Opportunity to have a significant impact on the business — we are still very early in our journey as a company, and each c",https://job-boards.greenhouse.io/remotecom/jobs/7662462003,greenhouse,,,2026-03-21T00:45:21.669650
